Name,Type,Attack Type,Accuracy,Damage Pool,Added Effect,Rank
Growth,Normal,Status,Special+Nature,-,Increases the User's Strength and Special by 1,2
Laser Focus,Normal,Status,Insight+Alert,-,The next time the user lands a hit; it will be treated as if it were a Critical Hit.,0
Me First,Normal,Status,Dexterity+Brawl,Same as copied move +1,Priority 1. The User copies and uses the Move the target was intending to use. It must be a damaging Move.,2
Mega Punch,Normal,Physical,Dexterity+Brawl,Strength+3,The user has -1 successes on their Accuracy roll.,2
Metronome,Normal,Special,Dexterity+Perform,Special+*,Roll a die to determine this Move's Power. The appearance and Type of this Move are decided by the Storyteller.,1
Protect,Normal,Status,Will+Channel,-,Priority 5. Shield Move. Reduce 3 Damage this pokemon would receive from a Damaging Move. Negate the effects of Support Moves that target the user. Reduce to zero the set damage from a Move the user would take.,2
Rapid Spin,Normal,Physical,Dexterity+Brawl,Strength+2,Remove Entry Hazards and Leech Seed from the user’s side of the field. Increase user’s Dexterity by 1.,2
Scary Face,Normal,Status,Tough+Intimidate,-,Reduce the foe’s Dexterity by 2,2
Scratch,Normal,Physical,Dexterity+Brawl,Strength+2,-,0
Skull Bash,Normal,Physical,Strength+Brawl,Strength+5,Increase the User’s Defense by 1. Charge.,3
Slash,Normal,Physical,Dexterity+Brawl,Strength+3,High Critical. Lethal,2
Smokescreen,Normal,Status,Special+Channel,-,The Foe gets 1 success reduced from all its Accuracy Rolls.,1
Sweet Scent,Normal,Status,Special+Nature,-,Affects All Foes in Range. Those Affected cannot Evade Moves performed by the user. Outside of Battle; it will attract wild Pokemon.,2
Swift,Normal,Special,Dexterity+Channel,Special+2,Hits all foes. Never fails.,2
Tackle,Normal,Physical,Dexterity+Brawl,Strength+2,-,0
Tail Whip,Normal,Status,Cute+Perform,-,All foe's Defense reduced by 1,0
Take Down,Normal,Physical,Dexterity+Brawl,Strength+3,User has -2 successes on their accuracy roll. Recoil.,2
Transform,Normal,Status,Will+Channel,-,The user transfroms into a copy of its target with the same Ability; Attributes; Trait Modifiers; and Moves. Being inside a Pokeball breaks the Transformation.,0
Poison Powder,Poison,Status,Special+Channel,-,User has -2 successes on their accuracy roll. Poison the Foe.,2
Barrier,Psychic,Status,Special+Channel,-,Increase the User's Defense by 2,3
Future Sight,Psychic,Special,Insight+Channel,Special+5,Strikes at the end of the next Round. It bypasses any Shield Move and cover. If the target retires or switches out from battle; the damage will be dealt to the next opponent or to one of its allies.,3
Iron Defense,Steel,Status,Vitality+Channel,-,Increase the User’s Defense by 2.,3
Metal Claw,Steel,Physical,Dexterity+Brawl,Strength+2,User has -1 success on their accuracy roll. Roll 1 Chance Die to increase the User’s Strength.,4
Aqua Jet,Water,Physical,Dexterity+Brawl,Strength+2,Priority 1.,4
Aqua Tail,Water,Physical,Dexterity+Brawl,Strength+3,Roll 3 Chance Dice to Flinch the foe.,2
Bubble,Water,Special,Dexterity+Channel,Special+2,Target All Foes in Range. Roll 1 Chance Die to reduce the Dexterity of those affected by 1.,2
Hydro Pump,Water,Special,Special+Channel,Special+5,User has -1 success on their accuracy roll.,3
Rain Dance,Water,Status,Special+Nature,-,Rain Weather is activated for the next 4 Rounds. Cannot be evaded or clashed.,3
Water Gun,Water,Special,Dexterity+Channel,Special+2,-,1
Water Pledge,Water,Special,Dexterity+Channel,Special+2,Affects Area. Create a rainbow that adds 2 Dice to all Chance Dice Rolls. This effect lasts 4 rounds. Battlefield effect cannot be evaded or clashed.,4
Water Pulse,Water,Special,Dexterity+Channel,Special+2,Roll 3 Chance Dice to Confuse the foe.,2
Withdraw,Water,Status,Vitality+Brawl,-,Increase the User’s Defense by 1.,1
String Shot,Bug,Status,Insight+Nature,-,Target all foes in Range. Reduce the Dexterity of those affected by 1.,
